federal_account_symbol,account_title,agency,bureau
011-0210,"Operating Expenses, Executive Residence at the White House",Executive Office of the President,Executive Residence
011-0210,"Operating Expenses, Executive Residence at the White House, Executive Office of the President",Executive Office of the President,Office of Administration
011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,Office of Administration
011-0300,"Salaries and Expenses, Office of Management and Budget",Executive Office of the President,Office of Administration
011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,Office of Administration
011-0400,"Salaries and Expenses, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Office of the United States Trade Representatives
011-0400,"Salaries and Expenses, Office of the United States Trade Representative",Executive Office of the President,Office of the United States Trade Representatives
011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,Office of the United States Trade Representatives
011-0700,"African Development Foundation, Funds Appropriated to the President",Executive Office of the President,African Development Foundation
011-1001,"TRADE AND DEVELOPMENT AGENCY, FUNDS APPROPRIATED TO THE PRESIDENT",Executive Office of the President,Trade and Development Programs
011-1001,"Trade and Development Agency, Funds Appropriated to the President",Executive Office of the President,Trade and Development Programs
011-1005,"International Organizations and Programs, Economic Assistance, Funds Appropriated to the President",Department of State,DEPARTMENT OF STATE
011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,Development Banks-Treasury-FMS-Credit Accounting Branch
011-1022,"International Narcotics Control and Law Enforcement, Funds Appropriated to the President",Department of State,DEPARTMENT OF STATE
011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance",Executive Office of the President,State
011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Department of State,DEPARTMENT OF STATE
011-1022,"Peacekeeping Operations, International Security Assistance, State",Department of State,DEPARTMENT OF STATE
011-1022,State,Department of State,DEPARTMENT OF STATE
011-1022,State Department,Department of State,DEPARTMENT OF STATE
011-1032,Department of State,Department of State,DEPARTMENT OF STATE
011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,State
011-1032,"Peacekeeping Operations, Funds Appropriated to the President, State",Department of State,DEPARTMENT OF STATE
011-1032,"Peacekeeping Operations, International Security Assistance State",Executive Office of the President,State
011-1032,"Peacekeeping Operations, International Security Assistance, State",Department of State,DEPARTMENT OF STATE
011-1039,"Contributions to the International Fund for Agricultural Development, Funds Appropriated to the President",Executive Office of the President,Development Banks-Treasury-FMS-Credit Accounting Branch
011-1040,"Global Security Contingency Fund, International Security Assistance, State",Executive Office of the President,State
011-1041,"Global Security Contingency Fund, International Security Assistance, State",Department of Defense,DEPARTMENT OF DEFENSE
011-1041,"Global Security Contingency Fund, State",Executive Office of the President,State
011-1045,International Affairs Technical Assistance,Executive Office of the President,"Dept of Treasury, Main Treasury, Office of the Secretary, Accounting"
011-1045,"International Affairs Technical Assistance, Executive Office of the President",Executive Office of the President,"Dept of Treasury, Main Treasury, Office of the Secretary, Accounting"
011-1045,Nternational Affairs Technical Assistance,Executive Office of the President,"Dept of Treasury, Main Treasury, Office of the Secretary, Accounting"
011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Office of Administration
011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,State
011-1073,"Armstrong Resolution Account, Executive Office of the President",Executive Office of the President,Office of Administration
011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, Funds Appropriated to the President",Executive Office of the President,State
011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Department of State,DEPARTMENT OF STATE
011-1075,State,Department of State,DEPARTMENT OF STATE
011-1081,"International Military Education and Training, Funds Appropriated to the President",Department of the Army,DEPARTMENT OF THE ARMY
011-1082,"Foreign Military Financing Program Grants, Funds Appropriated to the President",Executive Office of the President,Defense Security Assistance Agency
011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Department of Defense,DEPARTMENT OF DEFENSE
011-1082,"Foreign Military Financing Program, Funds, Appropriated to the President",Department of State,DEPARTMENT OF STATE
011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",Executive Office of the President,State
011-1085,"Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President",Executive Office of the President,Defense Security Assistance Agency
011-1088,"Assistance for Relocation of Facilities in Israel, Executive",Executive Office of the President,Defense Security Assistance Agency
011-1091,Promotion of Security and Stability in Central America,Executive Office of the President,State
011-1096,"Iraq Relief and Reconstruction Fund, Executive Office of the President",Executive Office of the President,Office of Administration
011-1098,"Salaries and Expenses, Privacy and Civil Liberties Oversight Board",Executive Office of the President,Office of Administration
011-1453,Council on Environmental Quality and Office of Environmental Quality,Executive Office of the President,Office of Administration
011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,Office of Administration
011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,Office of Administration
011-1457,"Salaries and Expenses, Office of National Drug Control Policy",Executive Office of the President,Office of Administration
011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Office of Administration
011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,Office of Administration
011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Office of Administration
011-1475,Global Agriculture and Food Security Program,Executive Office of the President,Development Banks-Treasury-FMS-Credit Accounting Branch
011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the  President",Executive Office of the President,Office of the United States Trade Representatives
011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Office of the United States Trade Representatives
011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President",Executive Office of the President,Office of Administration
011-1800,"Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President",Executive Office of the President,OFFICE OF THE NATIONAL CYBER DIRECTOR
011-1800,"Salaries and Expenses, Office of the National Cyber director, Executive Office of the President",Executive Office of the President,OFFICE OF THE NATIONAL CYBER DIRECTOR
011-1802,"Salaries and Expenses, Office of Pandemic Preparedness and Response, Executive Office of the President",Executive Office of the President,Office of Pandemic Preparedness and Response Policy
011-1900,"Salaries and Expenses, Council of Economic Advisers",Executive Office of the President,Office of Administration
011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,Office of Administration
011-2000,"Salaries and Expenses, National Security Council",Executive Office of the President,Office of Administration
011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,Office of Administration
011-2200,"Salaries and Expenses, Office of Policy Development, Executive",Executive Office of the President,Office of Administration
011-2200,"Salaries and Expenses, Office of Policy Development, Executive Office of the President",Executive Office of the President,Office of Administration
011-2600,Office of Science and Technology Policy,Executive Office of the President,Office of Administration
011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,Office of Administration
011-3100,Inter-American Foundation,Executive Office of the President,Inter-American Foundation
011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,Office of Administration
011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",Executive Office of the President,Defense Security Assistance Agency
011-4116,"Special Defense Acquistion Fund, Funds Appropriated to the President",Executive Office of the President,Defense Security Assistance Agency
011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",Executive Office of the President,Defense Security Assistance Agency
011-4263,"Reimbursable Expenses, Executive Residence at the White House, Executive Office of President",Executive Office of the President,Executive Residence
011-5001,"Special Forfeiture Fund, Funds Appropriated to the President",Executive Office of the President,Office of Administration
011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,Peace Corps
011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Office of Administration
011-5766,"Submarine Security Activities, National Security Council, Executive Office of the President",Department of Energy,Capital Accounting Center
011-6016,"Readjustment Allowances, Peace Corps",Executive Office of the President,Peace Corps
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Council of Economic Advisors",Executive Office of the President,Office of Administration
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Domestic Policy Staff",Executive Office of the President,Office of Administration
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Office of Management and Budget",Executive Office of the President,Office of Administration
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Peace Corps",Executive Office of the President,Peace Corps
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Special Assistance to the President",Executive Office of the President,Office of Administration
011-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, White House Office",Executive Office of the President,Office of Administration
011-6130,"Employee and Employer Contributions, Foreign Government Social Security and Related Programs, Peace Corps",Executive Office of the President,Peace Corps
011-6147,"Security Assistance and International Programs, Deposit Account",Department of Defense,DEPARTMENT OF DEFENSE
